"Variable","Label","Type_Stata","Type_R","N_Manquants","Pct_Manquant"
"CodePays","Code ISO 3166-1 alpha-3","%9s","character",0,0
"vague","Vague","%6.2f","numeric",0,0
"grappe","Grappe","%6.2f","numeric",0,0
"menage","Identifiant du ménage","%6.2f","numeric",0,0
"s01q00a","1.00a Membres__id","%6.0f","numeric",0,0
"s01q00c","1.00c Répondant de cette section","%10.0g","numeric",0,0
"s01q01","1.01. Sexe","%6.2f","haven_labelled",0,0
"s01q02","1.02. Lien de parenté avec le chef de ménage","%6.2f","haven_labelled",0,0
"s01q03a","1.03a. Date de naissance","%6.2f","numeric",18009,43.46
"s01q03b","1.03b. Mois de naissance","%6.2f","haven_labelled",0,0
"s01q03c","1.03c. Année de naissance","%6.2f","numeric",1654,3.99
"s01q04a","1.04a Age en annees au dernier anniversaire","%6.2f","numeric",39780,96.01
"s01q04b","1.04b Age en mois","%6.2f","numeric",41165,99.35
"s01q05","1.05 Dispose d'un acte de naissance","%6.2f","haven_labelled",22619,54.59
"s01q06","1.06 Acte de naissance vu","%6.2f","haven_labelled",29377,70.9
"s01q07","1.07. Situation matrimoniale","%6.2f","haven_labelled",14035,33.87
"s01q08","1.08. Le(s) conjoint(s) vit (ou vivent) dans le ménage","%6.2f","haven_labelled",27116,65.44
"s01q09__0","1.09. Numero ordre du conjoint 1","%10.0g","numeric",28403,68.55
"s01q09__1","1.09. Numero ordre du conjoint 2","%10.0g","numeric",40582,97.94
"s01q09__2","1.09. Numero ordre du conjoint 3","%10.0g","numeric",41324,99.73
"s01q09__3","1.09. Numero ordre du conjoint 4","%10.0g","numeric",41424,99.98
"s01q10","1.10. Age de mariage pour la première fois","%6.2f","numeric",25223,60.88
"s01q11","1.11. Présence au moment de l'enquête","%6.2f","haven_labelled",0,0
"s01q12","1.12. Vit de manière continue dans ce ménage depuis au moins 6 mois","%6.2f","haven_labelled",0,0
"s01q13","1.13. A l'intention de rester dans le ménage au moins 6 mois","%6.2f","haven_labelled",40697,98.22
"s01q14","1.14. Religion","%6.2f","haven_labelled",0,0
"s01q15","1.15. Nationalité","%14.2f","haven_labelled",0,0
