ID,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,studytime,failures,schoolsup,famsup,paid,higher,romantic,famrel,Dalc,Walc,health,absences,G3,pass
1,F,18,U,GT3,A,4,4,at_home,teacher,mother,2,0,yes,no,no,yes,no,4,1,1,3,6,6,fail
2,F,17,U,GT3,T,1,1,at_home,other,father,2,0,no,yes,no,yes,no,5,1,1,3,4,6,fail
3,F,16.3610838429814,U,LE3,T,1,1,at_home,other,mother,2,3,yes,no,yes,yes,no,4,2,3,3,10,10,pass
4,F,15,U,GT3,T,4,2,health,services,mother,3,0,no,yes,yes,yes,yes,3,1,1,5,2,15,pass
5,F,16.157086122453,U,GT3,T,3,3,other,other,father,2,0,no,yes,yes,yes,no,4,1,2,5,4,10,pass
6,M,16,U,LE3,T,4,3,services,other,mother,2,0,no,yes,yes,yes,no,5,1,2,5,10,15,pass
7,M,16.7027399436007,U,LE3,T,2,2,other,other,mother,2,0,no,no,no,yes,no,4,1,1,3,0,11,pass
8,F,17,U,GT3,A,4,4,other,teacher,mother,2,0,yes,yes,no,yes,no,4,1,1,1,6,6,fail
9,M,15,U,LE3,A,3,2,services,other,mother,2,0,no,yes,yes,yes,no,4,1,1,1,0,19,pass
10,M,15,U,GT3,T,3,4,other,other,mother,2,0,no,yes,yes,yes,no,5,1,1,5,0,15,pass
11,F,15,U,GT3,T,4,4,teacher,health,mother,2,0,no,yes,yes,yes,no,3,1,2,2,0,9,fail
12,M,15,U,GT3,T,2,1,services,other,father,3,0,no,yes,no,yes,no,5,1,1,4,4,12,pass
13,M,16.4300036290174,U,LE3,T,4,4,health,services,father,1,0,no,yes,yes,yes,no,4,1,3,5,2,14,pass
14,F,15,U,GT3,T,4,3,teacher,other,mother,2,0,no,yes,yes,yes,no,5,1,2,3,2,11,pass
15,M,15,U,GT3,A,2,2,other,other,other,3,0,no,yes,no,yes,yes,4,1,1,3,0,16,pass
16,M,16,U,GT3,T,4,4,health,other,mother,1,0,no,yes,no,yes,no,4,1,2,2,4,14,pass
17,F,16,U,GT3,T,4,4,services,services,mother,3,0,no,yes,yes,yes,no,3,1,2,2,6,14,pass
18,F,16.3017282593736,U,GT3,T,3,3,other,other,mother,2,0,yes,yes,no,yes,no,5,1,1,4,4,10,pass
19,M,17,U,GT3,T,3,2,services,services,mother,1,3,no,yes,no,yes,no,5,2,4,5,16,5,fail
20,M,16,U,LE3,T,4,3,health,other,father,1,0,no,no,yes,yes,no,3,1,3,5,4,10,pass
21,M,15,U,GT3,T,4,3,teacher,other,mother,2,0,no,no,no,yes,no,4,1,1,1,0,15,pass
22,M,15,U,GT3,T,4,4,health,health,father,1,0,no,yes,yes,yes,no,5,1,1,5,0,15,pass
23,M,15.318445499602,U,LE3,T,4,2,teacher,other,mother,2,0,no,no,no,yes,no,4,1,3,5,2,16,pass
24,M,16,U,LE3,T,2,2,other,other,mother,2,0,no,yes,no,yes,no,5,2,4,5,0,12,pass
